Que tu abuela vea un vídeo sexual tuyo;Que alguien lo suba a Facebook durante 30 segundos
Ser virgen hasta los 40 y después tener sexo increíble;Tener sexo mediocre toda tu vida
Que tus padres te vean teniendo relaciones sexuales;Ver a tus padres teniendo relaciones sexuales
Solo tener sexo que dure 1 minuto;Solo tener sexo que dure mínimo 6 horas seguidas
Tener sexo con tu jefe/a sin que nadie se entere;No tener sexo con tu jefe/a, pero que todos piensen que sí
Tener sexo con alguien que te cae mal, pero es muy atractivo;Tener sexo con alguien que te cae bien, pero no es atractivo
Sentir mucho placer, pero ser incapaz de darlo;No sentir placer, pero dar mucho al otro
Que tus amigos/as te vean teniendo sexo;Que circule por Internet un vídeo tuyo teniendo sexo sin que se te vea la cara
Tener sexo con cualquier persona que desees;Tener 100 millones de dólares
Una relación sin amor con el mejor sexo;Una relación llena de amor con sexo mediocre
Durar siempre más de 2 horas en la cama;Durar siempre 4 minutos
Una pareja que cocine de forma espectacular;Una pareja que sea experta en el sexo
Fingir un orgasmo delante de tu familia;Fingir un orgasmo en público
Recibir un aviso cuando tus padres tienen sexo;Que tus padres reciban un aviso siempre que tienes sexo
Gritar ‘te amo, mamá/papá’ siempre que llegas al orgasmo;Gritar el nombre de tu ex siempre que llegas al orgasmo
;No volver a tener orgasmos
Tener sexo con un/a anciano/a en privado;Tener sexo con tu pareja en público
Defecar en mitad de la calle;Tener sexo en mitad de la calle
Matar a un familiar para conseguir 1 millón de dólares;Suicidarte para terminar con todas las guerras para siempre
No tener sexo por 1 año;No usar tu celular por 4 meses
No tener pene/vagina;Tener 2 penes/vaginas
Dejar el queso;Dejar el sexo oral
Tener sexo frente a 200 extraños sin cámaras;Tener sexo en tu habitación delante de tus padres
Chupar un tampón usado que te encontraste en la calle;Chupar un condón usado que te encontraste en la calle
Comerte a tu abuela;Comerte a un vagabundo
Tener sexo con la mitad superior de Emma Watson y la parte inferior de Mr Bean;Tener sexo con la mitad superior de Mr Bean y la mitad inferior de Emma Watson
Tener una pareja a la que le guste agarrar tu caca;Tener una pareja a la que le guste beberse tu orina
Abortar un bebe de la persona a tu derecha;Abortar un bebé de la persona a tu izquierda
Tragar esperma que sepa a orina;Que tu pareja se orine encima de ti
Que en la clínica te extraigan un juguete sexual delante de tu familia;consumir cocaina delante de tu familia
Tener sexo con tu prima/o de segundo grado en secreto;No tener sexo con tu prima/o de segundo grado, pero que todos piensen que lo hicieron
Usar un cinturón de castidad por un año;Ser la esclava/o sexual de alguien por un día (sin daño permanente)
Tener sexo con Megan Fox con un pene;Jason Momoa con una vagina
Recibir un baile erótico;Dar un baile erótico
Gemir de manera extraña;Poner una cara fea cada vez que te vienes
Estar caliente todos los días por el resto de tu vida;Estar caliente solo una vez al año
Alguien que habla todo el tiempo durante el sexo;Alguien que no hace ruido durante el sexo
Hacer el paseo de la vergüenza;Echar a un extraño/a de tu casa por la mañana
Leer una novela erótica;Ver porno
Tener sexo siempre en tu cuarto;Tener sexo siempre afuera de tu cuarto
Tener sexo con las luces encendidas;Tener sexo con las luces apagadas
Tener sexo en una cama sucia de hotel;Tener sexo en un baño público
Caminar en público en ropa interior;Caminar en público con un cinturón-consolador sobre tu ropa
Tener sexo en la primera cita con tu futura pareja;Tener sexo después de un mes de salir
Tener sexo con tu mejor amigo/a;Tener sexo con tu ex
Recibir sexo oral;Dar sexo oral
Sexo oral mientras conduces;Sexo oral en el cine
Tener sexo por la mañana;Tener sexo por la noche
No volver a masturbarte nunca más;No volver a comer alimentos sólidos
Tener sexo con alguien muy atractivo, pero pésimo en la cama;Tener sexo con alguien muy feo, pero increíblemente bueno en la cama
Juegos previos extremadamente buenos, pero pésimo sexo;Pésimos juegos previos, pero buen sexo
Ir abajo en el sexo;Ir arriba en el sexo
Tener una cita con alguien que besa mal;Tener una cita con alguien que es malo en la cama
Tener sexo con condón;Tener sexo sin condón
Pagar por sexo;Cobrar por sexo
Enviar un mensaje de texto sucio a tu jefe/a por error;Dejarle un mensaje voz sexy a tu padre/madre por error
Tirarte un pedo mientras recibes sexo oral;Eructar mientras besas
Sexo pervertido;Sexo convencional
Torcerte el tobillo durante el sexo;Dañar gravemente la vagina/pene de tu pareja
Estar atado a una cama y ser olvidado por tres días;Tener un juguete sexual perdido dentro de ti
Orgasmos cada vez que estornudas;Orgasmos cada vez que bostezas
Juego de rol sexual;Sadomasoquismo
Dejar que tu pareja te domine en el sexo;Dominar a tu pareja durante el sexo
Posición del misionero;Posición del perrito
Ser estrangulado/a mientras tienes sexo;Ser abofeteado mientras tienes sexo
Caminar con una erección durante seis horas al día;No volver a tener una erección
Sexo anal;Sexo oral
Unirte a una orgía;Unirte a un trío
Tener sexo con una persona que muerde;Tener sexo con una persona que araña
Solo tener sexo mientras ves películas de terror;Solo tener sexo viendo “Dora la Exploradora”
Hacer cosas románticas en la cama;Probar algunas cosas pervertidas
Averiguar que tu pareja tuvo sexo su mejor amigo/a;Averiguar que tu pareja tuvo sexo con tu mejor amigo/a
Que tu pareja solo pueda usar sus manos durante los preliminares;Que tu pareja solo pueda usar la boca
No tener sexo nunca más;No volver a masturbarte
Tener sexo con el período el resto de tu vida;Tener sexo anal el resto de tu vida
Hacer un trío con conocidos;Un trío con extraños/as
Tener una pareja con hipersexualidad;Tener una pareja con muy bajo deseo sexual
Probar el Fisting;Probar la doble penetración
Hacerle una mamada profunda a alguien;Tener sexo anal
Gritar cada vez que te vienes “soy gay”;"Gritar “tengo una ETS"""
Ser malo besando;Malo en el sexo oral
Dejar que tu pareja durmiese con tu mejor amigo/a;Dormir con la pareja de tu mejor amigo/a
Tener sexo con alguien con cuerpo bonito, pero una cara fea;Tener sexo con alguien con cuerpo feo pero una cara bonita
Tragar;Escupir
Tener una pareja que se corra en 60 segundos;Que tarde 3 horas en correrse
Tener sexo con una persona que se niegue a quitarse las medias;Tener sexo con alguien que ponga cara rara al llegar al orgasmo
Ver a tu pareja masturbándose;Dejar que tu pareja mire cuando te masturbas
Tener sexo con los ojos vendados;Tener sexo esposado
Tener una pareja a la que no le guste el sexo oral;Tener una pareja obsesionada con el sexo anal
Acento alemán;Acento ruso
Comerle el culo a tu pareja;Que tu pareja te coma el culo
Ser capaz de hacer el amor con cualquiera;Encontrar tu alma gemela
Ser fumador;Ser alcohólico
Recibir 10 mil dólares;Recibir 1 millón y ser perseguido por un caracol inmortal, si te alcanza mueres
Que te claven un clavo en cada extremidad;Que te rompan un hueso de cada extremidad
Creer que tu pareja te es infiel sin que lo sea;Que tu pareja te sea infiel sin que te enteres
Pegarte el culo con pegamento instantáneo;Pegarte los labios con pegamento instantáneo
Que tu pareja te descubra poniéndole los cuernos;Descubrir a tu pareja poniéndote los cuernos
Saber qué día morirás;Saber cómo morirás
Acabar con el racismo;Acabar con el machismo
Ser millonario (y que toda tu familia lo sea);Encontrar una cura para el VIH y donarla
Tener solo un pezón;Tener dos ombligos
Matar a un inocente;Matar a 5 personas que han cometido un delito menor
Que tu compañero de celda sea un violador/a;Que tu compañero de celda sea un caníbal
Discutir sobre veganismo con un vegano/a;Tratar de convencer a un chileno/a que el pisco es peuano
Pasar tus últimos días en familia;Pasar tus últimos días en misión suicida para Asesinar a Kim Jong-Un
Morir en la silla eléctrica;Morir ahorcado
Ser viral en Tiktok;Ser viral en Instagram
"Vivir en el universo de ""El señor de los anillos""";"Vivir en el universo de ""Juego de Tronos"""
Tener un hijo drogadicto;Tener un hijo vago
Vivir un apocalipsis zombie;Vivir una invasión alienígena
Matar al papa o pontífice;Matar a un tío lejano
Pesar 30% más por el resto de tu vida;Medir 30% menos
Estar encerrado en un cuarto lleno de arañas;Estar encerrado en un cuarto lleno de cucarachas voladoras
Ser rico en un país de tercer mundo;Ser clase media en un país de primer mundo
Perder un brazo;Perder una pierna
Tener brackets el resto de tu vida;Tener acné facial el resto de tu vida
La extinción de los pandas;La muerte de un familiar lejano
Solo comer comidas picantes;Solo comer comidas líquidas
Pelearte a muerte con la persona de tu derecha;Pelearte a muerte con la persona de tu izquierda
Viajar en el tiempo;Viajar a universos paralelos
Dwayne Johnson (La roca) como protagonista de todas las películas;Bad Bunny como cantante de todas las canciones
Perder los pulgares;Perder los dedos índices y del medio
Comer un huevo podrido;Tomar leche vencida
Poder rehacer un momento de tu vida;Poner la vida en pausa por 1 minuto cada día
Olvidar quién eres;Que todos/as los/as que conocías te olviden
Luchar contra un gato del tamaño de un humano;Luchar contra 10 personas inteligentes del tamaño de un gato
Solo comer comidas picantes;Solo comer comidas sin sal
No poder controlar tus eructos;No poder controlar tus pedos
Vivir un apocalipsis Zombie;Participar en la tercera guerra mundial
Diarrea permanente ;Migraña permanente
Comer fetuccini con cuchara;Comer pizza con palitos chinos
Estar en la cárcel 10 años;Estar en coma 2 años
Tener un sueldo alto en un trabajo que odias;Tener un sueldo bajo en un trabajo que amas
Ir al cielo católico;Ir al Valhalla
Que tu pareja tenga busto/pene grande;Que tu pareja tenga un trasero grande
Va primero el yogurt;Va primero el cereal
Limpiarte el culo parado;Limpiártelo sentado
